"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","hour"
"21","THANK YOU to our generous hosts in Hanoi this week: President Trong, Prime Minister Phuc, and the wonderful people… ",FALSE,139534,NA,2019-02-28 10:25:18,TRUE,NA,"1101065802067861505",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27059,FALSE,FALSE,NA,NA,5
"22","Great meeting and dinner with Kim Jong Un in Hanoi, Vietnam tonight. Looking forward to continuing our discussions… ",FALSE,99164,NA,2019-02-27 15:38:24,TRUE,NA,"1100782208518946817",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23300,FALSE,FALSE,NA,NA,10
"23","Great meetings and dinner tonight in Vietnam with Kim Jong Un of North Korea. Very good dialogue. Resuming tomorrow!",FALSE,128115,NA,2019-02-27 15:36:56,FALSE,NA,"1100781840623751169",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22848,FALSE,FALSE,NA,NA,10
"24","All false reporting (guessing) on my intentions with respect to North Korea. Kim Jong Un and I will try very hard t… ",FALSE,101377,NA,2019-02-27 09:45:59,TRUE,NA,"1100693519491100672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22771,FALSE,FALSE,NA,NA,4
"25","Fiat Chrysler will be adding more than 6,500 JOBS in Michigan (Detroit area), doubling its hourly workforce as part… ",FALSE,122457,NA,2019-02-27 09:20:25,TRUE,NA,"1100687085999132672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",26601,FALSE,FALSE,NA,NA,4
"26","Michael Cohen was one of many lawyers who represented me (unfortunately). He had other clients also. He was just di… ",FALSE,132107,NA,2019-02-27 09:08:03,TRUE,NA,"1100683974899363840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",32769,FALSE,FALSE,NA,NA,4
"27","I have now spent more time in Vietnam than Da Nang Dick Blumenthal, the third rate Senator from Connecticut (how is… ",FALSE,159782,NA,2019-02-27 07:58:32,TRUE,NA,"1100666476422410240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",38509,FALSE,FALSE,NA,NA,2
"28","The Democrats should stop talking about what I should do with North Korea and ask themselves instead why they didn’… ",FALSE,188464,NA,2019-02-27 02:36:29,TRUE,NA,"1100585431211618310",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",42532,FALSE,FALSE,NA,NA,21
"29","Vietnam is thriving like few places on earth. North Korea would be the same, and very quickly, if it would denuclea… ",FALSE,108000,NA,2019-02-27 02:31:21,TRUE,NA,"1100584141274398720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22671,FALSE,FALSE,NA,NA,21
"30","Just arrived in Vietnam. Thank you to all of the people for the great reception in Hanoi. Tremendous crowds, and so much love!",FALSE,170641,NA,2019-02-26 15:08:14,FALSE,NA,"1100412227662708737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",27356,FALSE,FALSE,NA,NA,10
"31","Senate Democrats just voted against legislation to prevent the killing of newborn infant children. The Democrat pos… ",FALSE,203080,NA,2019-02-26 01:50:36,TRUE,NA,"1100211495223218176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",66021,FALSE,FALSE,NA,NA,20
"32","If a deal is made with China, our great American Farmers will be treated better than they have ever been treated before!",FALSE,111833,NA,2019-02-26 00:04:49,FALSE,NA,"1100184874466664448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21727,FALSE,FALSE,NA,NA,19
"33","Heading over to Vietnam for my meeting with Kim Jong Un. Looking forward to a very productive Summit!",FALSE,109239,NA,2019-02-25 20:17:02,FALSE,NA,"1100127553203798016",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",18893,FALSE,FALSE,NA,NA,15
"34","China Trade Deal (and more) in advanced stages. Relationship between our two Countries is very strong. I have there… ",FALSE,79675,NA,2019-02-25 20:12:25,TRUE,NA,"1100126391729774592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16149,FALSE,FALSE,NA,NA,15
"35","It is my honor today to announce that Danny Burch, a United States citizen who has been held hostage in Yemen for 1… ",FALSE,155858,NA,2019-02-25 19:08:55,TRUE,NA,"1100110409736978432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",31858,FALSE,FALSE,NA,NA,14
"36","Congratulations to DJohnsonPGA on his 20th PGA Tour WIN. Not only is Dustin a truly great golfer, he is a wonderfu… ",FALSE,66412,NA,2019-02-25 18:50:20,TRUE,NA,"1100105732450443265",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9444,FALSE,FALSE,NA,NA,13
